churned,gender,is_returning,permission_upgraded,permission_withdrawn,dominant_category,age_at_order,account_active_days,previous_subscriptions,previous_campaigns,avg_scroll,page_views,days_with_activity,newsletter_growth,pages_on_restricted
1,1,1,0,0,indland,75.20547945205479,387,5,4,0.3471953578336557,517,31,0,0.2978723404255319
1,1,1,1,0,indland,68.65479452054795,1330,15,13,0.417910447761194,603,31,0,0.3200663349917081
1,0,0,0,0,indland,38.657534246575345,61,0,0,0.36666666666666664,15,2,0,0.3333333333333333
1,1,0,0,0,erhverv,44.586301369863016,92,0,0,0.625,8,6,0,0.625
1,1,1,0,1,indland,73.1945205479452,581,2,2,0.16847826086956522,46,14,0,0.1956521739130435
1,0,1,0,0,international,32.64109589041096,1424,4,3,0.24802371541501977,253,28,0,0.233201581027668
1,0,1,1,0,international,57.295890410958904,1501,9,6,0.47761194029850745,201,24,-1,0.3582089552238806
1,1,0,0,0,indland,35.06301369863014,184,0,0,0.5166666666666667,15,10,0,0.26666666666666666
1,0,1,1,0,biler,72.92328767123287,1256,12,2,0.4875,80,10,0,0.325
1,0,1,1,0,indland,69.41369863013699,756,5,4,0.35006476683937826,772,31,0,0.33031088082901555
1,0,0,0,0,international,59.824657534246576,80,0,0,0.625,2,1,0,0.5
1,0,0,0,0,erhverv,28.073972602739726,275,0,0,0.18636363636363637,55,5,0,0.10909090909090909
1,0,1,1,0,international,49.02465753424657,883,21,9,0.3732311320754717,424,27,0,0.3490566037735849
1,1,1,0,0,international,70.87671232876713,152,1,1,0.2315891472868217,516,31,0,0.21124031007751937
1,0,1,0,0,international,50.175342465753424,276,1,1,0.23047619047619047,525,31,0,0.17904761904761904
1,0,1,0,0,other,68.88493150684931,425,4,4,0.40384615384615385,169,16,0,0.3136094674556213
1,0,0,0,0,biler,47.52328767123288,61,0,0,0.5,2,2,0,0.5
1,1,1,0,0,indland,51.726027397260275,306,2,2,0.20408163265306123,98,21,0,0.22448979591836735
1,0,0,0,0,other,36.73150684931507,92,0,0,0,2,1,0,0
0,1,0,0,0,other,70.06027397260274,369,0,0,0.17058823529411765,85,30,0,0.2235294117647059
1,1,1,0,0,indland,62.69315068493151,270,3,0,0.31624605678233436,317,28,0,0.305993690851735
1,1,0,0,0,indland,53.93698630136986,92,0,0,0.21428571428571427,14,3,0,0.42857142857142855
1,0,1,1,0,indland,71.23287671232876,1421,4,2,0.46875,8,6,0,0.5
0,1,0,1,0,indland,44.38082191780822,375,0,0,0.3541666666666667,12,3,0,0.16666666666666666
1,0,1,1,0,other,53.821917808219176,214,1,1,0.3472222222222222,18,2,0,0.5
1,1,0,0,0,indland,59.61369863013699,337,0,0,0.5221518987341772,158,17,0,0.3924050632911392
1,0,0,1,0,erhverv,67.2958904109589,313,0,0,0.3769230769230769,65,13,0,0.27692307692307694
0,0,0,0,0,other,56.202739726027396,390,0,0,0.3493243243243243,106,17,0,0.3076923076923077
1,0,0,0,0,international,53.05205479452055,61,0,0,0.44794520547945205,365,25,1,0.30684931506849317
1,0,1,0,0,other,-0.8082191780821918,900,2,1,0.3493243243243243,106,17,0,0.3076923076923077
1,0,1,0,0,indland,84.87397260273973,667,8,2,0.2836749633967789,683,31,0,0.24890190336749635
0,1,1,1,0,indland,59.394520547945206,971,2,1,0.22634271099744246,782,31,0,0.21994884910485935
1,1,0,0,0,other,19.575342465753426,92,0,0,0.05,5,4,0,0.8
1,1,0,0,0,international,69.2986301369863,291,0,0,0.5422535211267606,213,22,0,0.3192488262910798
1,1,0,0,0,erhverv,69.41643835616438,92,0,0,0.7,5,1,0,0.8
1,0,1,1,0,indland,50.11780821917808,224,2,2,0.5795454545454546,22,11,0,0.5454545454545454
1,0,1,0,0,international,82.73972602739725,433,19,4,0.7393162393162394,117,20,0,0.5042735042735043
1,0,0,0,0,other,79.30684931506849,377,0,0,0.3633217993079585,289,27,0,0.3460207612456747
1,0,0,0,0,indland,36.11232876712329,126,0,0,1,2,1,0,0.5
1,0,1,1,0,other,59.74794520547945,116,3,3,0.1798469387755102,588,30,0,0.20748299319727892
1,0,0,0,0,international,68.14246575342466,92,0,0,0.25,8,1,0,0
1,0,1,1,0,other,71.02191780821917,1120,2,2,0.26941747572815533,309,31,0,0.28802588996763756
